Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Other_TP,Other_TN,Other_FP,Other_FN,Other_DICE,Other_JACCARD,Other_PRECISION,Other_RECALL,Other_ACCURACY,Other_F1,Other_SPECIFICITY,Other_NPV,Other_FDR,Overlap,Sigma
HistoKit (no postprocessing),constant,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,258665459,301647962,1555359,73830420,0.872813134197905,0.774328694450161,0.9940229263286691,0.7779508719865968,0.881412814425439,0.872813134197905,0.9948702441817912,0.8033697183663693,0.005977073671330939,301647962,258665459,73830420,1555359,0.8889232188421028,0.8000556162425791,0.8033697183663693,0.9948702441817912,0.881412814425439,0.8889232188421029,0.7779508719865968,0.9940229263286691,0.19663028163363078,0.5,
HistoKit (no postprocessing),constant,tumor_031.png,31538963,1305352918,89887,14894840,0.8080423041732901,0.6779118982178757,0.9971580692943309,0.6792242065548669,0.9889156104105028,0.80804230417329,0.9999311444364658,0.9887181478553967,0.002841930705669033,1305352918,31538963,14894840,89887,0.9942930339122371,0.9886508371121995,0.9887181478553967,0.9999311444364658,0.9889156104105028,0.9942930339122372,0.6792242065548669,0.9971580692943309,0.011281852144603302,0.5,
HistoKit (no postprocessing),constant,tumor_021.png,151651274,1108510796,204024,88381170,0.7739526285055377,0.631258340011892,0.9986564578076162,0.6317949001927423,0.934320390213596,0.7739526285055377,0.9998159815343679,0.926157771536082,0.0013435421923836993,1108510796,151651274,88381170,204024,0.961578359962374,0.9259999241998964,0.926157771536082,0.9998159815343679,0.934320390213596,0.961578359962374,0.6317949001927423,0.9986564578076162,0.07384222846391802,0.5,
HistoKit (no postprocessing),constant,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,70912050,267347497,114737,16003244,0.8979500529691008,0.8147997787108682,0.998384595378079,0.8158753970273632,0.9545174856572733,0.8979500529691008,0.9995710160710016,0.9435214323296934,0.0016154046219210225,267347497,70912050,16003244,114737,0.9707378334724232,0.9431395275582729,0.9435214323296934,0.9995710160710016,0.9545174856572733,0.9707378334724232,0.8158753970273632,0.998384595378079,0.05647856767030653,0.5,
HistoKit (no postprocessing),constant,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,6417999,71207046,255238,8905181,0.5835494935379703,0.41198015100121205,0.9617519953210114,0.4188424987502594,0.8944475425055053,0.5835494935379703,0.9964283537313193,0.8888411752677903,0.038248004678988624,71207046,6417999,8905181,255238,0.9395649114117874,0.8860183159939162,0.8888411752677903,0.9964283537313193,0.8944475425055053,0.9395649114117874,0.4188424987502594,0.9617519953210114,0.11115882473220973,0.5,
HistoKit (no postprocessing),constant,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,191427872,532109048,910906,22543210,0.9422752969863936,0.890851177344841,0.995264054344777,0.8946436603054613,0.9686018775732672,0.9422752969863936,0.9982910470927698,0.9593561376973606,0.004735945655222994,532109048,191427872,22543210,910906,0.978436411502255,0.9577831693679388,0.9593561376973606,0.9982910470927698,0.9686018775732672,0.9784364115022551,0.8946436603054613,0.995264054344777,0.04064386230263936,0.5,
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8827577,212644672,81679,24653288,0.41649218222330625,0.2630187091896252,0.9908321188660423,0.26366036241895185,0.8995359786692848,0.4164921822233063,0.9996160372252143,0.8961083019845598,0.009167881133957763,212644672,8827577,24653288,81679,0.9450363760459154,0.8957999637028684,0.8961083019845598,0.9996160372252143,0.8995359786692848,0.9450363760459155,0.26366036241895185,0.9908321188660423,0.10389169801544017,0.75,2.25
HistoKit (no postprocessing),constant,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,132805980,214070460,807002,190236046,0.581646878599435,0.41008608492720255,0.9939601527641977,0.41111053457793756,0.6448482491119564,0.581646878599435,0.9962443618214366,0.5294756745764561,0.0060398472358022814,214070460,132805980,190236046,807002,0.6914599571802866,0.5284209382620735,0.5294756745764561,0.9962443618214366,0.6448482491119564,0.6914599571802866,0.41111053457793756,0.9939601527641977,0.4705243254235439,0.5,
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,150738015,171532284,2942487,23438734,0.9195344287200163,0.8510538911764503,0.9808532184518762,0.8654313268873792,0.9243335551785347,0.9195344287200163,0.9831351720186525,0.8797834968477213,0.01914678154812378,171532284,150738015,23438734,2942487,0.9285924436399517,0.8667032803041914,0.8797834968477213,0.9831351720186525,0.9243335551785347,0.9285924436399517,0.8654313268873792,0.9808532184518762,0.12021650315227876,0.75,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,7868234,33192219,6700,11297547,0.581954582192076,0.4103920614134394,0.9991491992186855,0.41053552683295297,0.7841246679537933,0.5819545821920759,0.9997981861999784,0.746064139784417,0.0008508007813144847,33192219,7868234,11297547,6700,0.8544930062852782,0.7459518021049132,0.746064139784417,0.9997981861999784,0.7841246679537933,0.8544930062852782,0.41053552683295297,0.9991491992186855,0.25393586021558306,0.75,2.25
