Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,6fecdbd3-f25f-98e1-f3e7-fdc984783bf1_110414_1.png,10942682,2779840,773843,2909569,0.8559410118028332,0.7481616076035065,0.9339528571824837,0.789956953566608,0.788381824267517,0.8559410118028332,0.7822419726238947,0.48859907944744346,0.06604714281751628,0.25,2.25
HistoKit (no postprocessing),gaussian,efbb89df-e3ec-91fc-7f90-b36e0f9bf420_124740_1.png,3776059,458690,1092,562419,0.9305647165487727,0.8701458900305791,0.9997108932102529,0.8703649067714531,0.8825593027472459,0.9305647165487727,0.997624961394748,0.44920767518452975,0.00028910678974708714,0.25,2.25
HistoKit (no postprocessing),gaussian,d18df4a2-af46-984e-1fcb-35841267a2a7_132544_3.png,4092032,297304,1163,1786910,0.8206930971766634,0.6959113825348356,0.99971586987671,0.6960490510027144,0.7105464443102278,0.8206930971766634,0.9961034218188275,0.14264562084315718,0.0002841301232899972,0.25,2.25
HistoKit (no postprocessing),gaussian,5b6306df-eee5-32e5-a263-7c4b8cf32245_100047_2.png,4203582,1008189,38021,24933,0.9925675179495729,0.9852447043690713,0.9910361719378263,0.9941036037474149,0.9880649702117172,0.9925675179495729,0.9636583477504517,0.9758663546028445,0.008963828062173664,0.25,2.25
HistoKit (no postprocessing),gaussian,36686384-7dd5-47b9-9af9-593716a57c66_072643_8.png,0,4124806,152,0,0.0,0.0,0.0,,0.9999631511399631,,0.9999631511399631,1.0,1.0,0.25,2.25
HistoKit (no postprocessing),gaussian,4f8d8d4c-adc3-ed68-4f51-2bb95426a546_131620_1.png,5843819,1333983,21407,3475,0.9978756066158265,0.9957602201918277,0.9963501832665953,0.9994057080078409,0.9965454544444821,0.9978756066158264,0.9842060218830004,0.9974017875701517,0.003649816733404646,0.25,2.25
HistoKit (no postprocessing),gaussian,adf4a334-3c2a-d6ae-0b72-c218c11535ea_115443_3.png,0,7867462,305720,0,0.0,0.0,0.0,,0.962594739723158,,0.962594739723158,1.0,1.0,0.25,2.25
HistoKit (no postprocessing),gaussian,786743ed-e3ab-4cc3-3e88-4ee844fd6584_104341_2.png,6063999,2820030,54737,71074,0.9897329067231259,0.9796744972785918,0.991054198121965,0.9884151337726543,0.9860362670147306,0.9897329067231259,0.9809595003699431,0.9754163115543405,0.008945801878034941,0.25,2.25
HistoKit (no postprocessing),gaussian,6dacef70-8f47-e898-de47-4738667f2bb0_100303_2.png,5392637,372503,1657,2168307,0.8325029613504592,0.7130664436746035,0.9996928235650485,0.7132227139891527,0.7265361613407966,0.8325029613504591,0.9955714132991234,0.14660797147366392,0.00030717643495145055,0.25,2.25
HistoKit (no postprocessing),gaussian,b04c2edc-8554-0391-20e3-62a3af357e5f_130945_4.png,3963603,358853,203669,1430267,0.8291066067212474,0.7080974335328436,0.9511265403362199,0.7348347290535368,0.7256836017508586,0.8291066067212474,0.6379359385055162,0.20057514308710428,0.048873459663780046,0.25,2.25
HistoKit (no postprocessing),gaussian,18a7f9da-53be-2120-be0a-0738920b492f_101923_2.png,3785846,175215,42172,378981,0.9473087492626218,0.8998922985244351,0.9889833328892393,0.9090043836154539,0.9038949261720217,0.9473087492626218,0.8060049588981861,0.31616070848580646,0.011016667110760712,0.25,2.25
HistoKit (no postprocessing),gaussian,e2bfe175-7bb7-d3b3-d437-ffbd60d747a4_123954_4.png,1858790,250468,2672,582022,0.8640965219788419,0.7607129819552737,0.9985645691397407,0.7615457478904561,0.7829604981825957,0.8640965219788419,0.989444576123884,0.300866076469387,0.0014354308602593016,0.25,2.25
HistoKit (no postprocessing),gaussian,b04c2edc-8554-0391-20e3-62a3af357e5f_130945_2.png,10187382,496214,24616,2052348,0.9074920202133216,0.8306502442119621,0.997589502073933,0.8323208109982818,0.8372356699079038,0.9074920202133216,0.9527369775166561,0.19470352300630708,0.0024104979260669655,0.25,2.25
HistoKit (no postprocessing),gaussian,7f0a6db3-032c-fd36-2371-511c4ae59038_115247_4.png,2869711,860093,8382,9184,0.9969487516736182,0.9939160669378103,0.9970876549159461,0.9968098871268316,0.9953124457953177,0.9969487516736181,0.9903485995566942,0.9894348981970074,0.0029123450840539203,0.25,2.25
HistoKit (no postprocessing),gaussian,0a6bb222-fb92-5dbe-8347-47a6b9e62ff2_125049_2.png,5234637,381546,47143,4163904,0.7131502097263405,0.5541829474710355,0.9910744105206957,0.5569627243207217,0.5714919667088284,0.7131502097263404,0.8900298351485576,0.08394020394020393,0.008925589479304325,0.25,2.25
