"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","gaussian","471ad0ae-4155-cece-bd54-ae74bd634547_150346_1.png",6349251,25356354,97332,24579,0.990490867961898,0.981160879607094,0.984901768890589,0.9961437628553,0.996169635104417,0.990490867961898,0.996176113746355,0.999031595883414,0.015098231109411,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6edc5bc4-e291-c11b-6fc8-450de3279215_144119_4.png",4566819,757283,6489,11949,0.997985375121448,0.995978851349008,0.998581114589264,0.997390346049418,0.996548832577763,0.997985375121448,0.991504009049821,0.98446632485388,0.00141888541073551,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","f881e0d1-5083-a9bf-24e9-defb3fc05474_163258_3.png",962835,8138667,41433,138673,0.914470484989857,0.842418812519631,0.958743084515289,0.874106225283884,0.980595388212904,0.914470484989856,0.994934902996296,0.983246671031998,0.0412569154847113,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","0dc0a59e-eed8-a877-89ca-f550e6af1913_165712_5.png",1417786,4878777,4946,30641,0.98760535379615,0.975514200415172,0.996523589825772,0.978845326688884,0.994379949938015,0.98760535379615,0.998987248048262,0.993758730668279,0.00347641017422817,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","bb87bd99-35a9-7681-1e96-e16035c6cb7c_142800_1.png",3940599,3562830,852927,476919,0.85562483470929,0.747678611578339,0.822066887714805,0.892039149585808,0.849450402030957,0.85562483470929,0.806844670121114,0.881943407870142,0.177933112285195,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","5b332dc9-3073-2df1-1a15-cd0113c0a149_073124_9.png",0,4538479,76593,0,0,0,0,NA,0.983403725879033,NA,0.983403725879033,1,1,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","471ad0ae-4155-cece-bd54-ae74bd634547_150346_2.png",3410188,6969131,15399,6930,0.996736816799789,0.993494861059683,0.995504712039134,0.997971975214201,0.997853320935298,0.996736816799789,0.997795270404737,0.999006602723227,0.00449528796086627,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","222ae6ec-aad2-d76b-96ce-832119c855bb_161654_3.png",0,5738153,8747,0,0,0,0,NA,0.998477962031704,NA,0.998477962031704,1,1,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","cbce74a2-7428-f9d6-deea-88fb31a09ea9_143207_2.png",4533652,38605,21104,2055,0.997452384988531,0.994917717675804,0.99536660141619,0.99954692840609,0.994960412724332,0.997452384988531,0.646552446029912,0.949458927693064,0.00463339858380998,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","dd39d066-a837-16fd-ad92-0770b0888627_135807_3.png",7337822,297257,3052,3054720,0.827570051929081,0.705858847507896,0.999584245690636,0.706066138582841,0.714035854422735,0.827570051929081,0.989837134418216,0.0886810977521624,0.000415754309364253,0.9,0.75,"Colon","GrandQC"
