Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,22c86e01-80fd-7f77-3526-d5f72a54b219_141444_3.png,15683265,743244,33170,802456,0.9740506194678393,0.9494139164669105,0.9978894704810601,0.9513241792700483,0.9515919670423154,0.9740506194678394,0.9572779470746278,0.480846218541761,0.0021105295189398866,0.25,0.75
HistoKit (no postprocessing),gaussian,e7510405-61bb-4166-6cb6-90d49adffbe4_135053_1.png,7506508,426546,1142047,23947,0.9279316843243189,0.865552755133409,0.8679493857644427,0.9968199796692232,0.8718553853106391,0.9279316843243189,0.27192904724170003,0.94684268124033,0.13205061423555728,0.25,0.75
HistoKit (no postprocessing),gaussian,91e6ffad-da04-5736-d731-feb79e91105c_134712_1.png,81944614,3038037,119114,3830015,0.9764706407367894,0.9540230887365102,0.9985485182930027,0.9553479269493547,0.9555937258874162,0.9764706407367894,0.9622716810187413,0.442343331122129,0.0014514817069972742,0.25,0.75
HistoKit (no postprocessing),gaussian,e0661871-0847-f23e-2d1f-8518496574c0_141209_3.png,42634631,1700632,79421,108654,0.9977991942341943,0.995608054287835,0.9981406353113023,0.9974579866755678,0.9957758108792292,0.9977991942341943,0.9553827891641429,0.9399464761237306,0.0018593646886977616,0.25,0.75
HistoKit (no postprocessing),gaussian,6875bf3f-1b6d-1a53-f365-0d72c060072a_140344_3.png,7609617,628561,12111,1105967,0.9315629156130457,0.8718930943393416,0.9984109902636252,0.8731046594238551,0.8804994219910186,0.9315629156130457,0.9810964112681684,0.3623815816175928,0.0015890097363747435,0.25,0.75
HistoKit (no postprocessing),gaussian,bc7dd6a2-14aa-d481-064a-28427e54cce1_153909_3.png,23766220,1328094,222975,2196691,0.9515602805615443,0.9075965579320097,0.990705190399261,0.915391190148131,0.912056852552775,0.9515602805615443,0.8562443063461393,0.3767872366683358,0.009294809600739,0.25,0.75
HistoKit (no postprocessing),gaussian,dad7b6f2-9f0b-8c2a-a00e-ff89c406e2d2_171435_1.png,23698296,1067864,30367,96309,0.9973344425724258,0.9946830577597321,0.998720239737064,0.9959524858681201,0.994911146323384,0.9973344425724258,0.9723491687996423,0.9172726046730169,0.001279760262936011,0.25,0.75
HistoKit (no postprocessing),gaussian,7a951edf-c71d-16ea-3e52-69a0dd7b54e1_133148_1.png,12539879,2860580,158,411803,0.9838394185970746,0.9681928590841147,0.9999874003561553,0.9682046702505512,0.9739469986251313,0.9838394185970747,0.9999447694965425,0.8741580676833977,1.2599643844751017e-05,0.25,0.75
HistoKit (no postprocessing),gaussian,c4a5bf6f-509c-e7c4-3751-4f823d57d1f3_145315_3.png,21607260,1126443,83899,2779023,0.9378671671921371,0.8830036490942323,0.9961321107830153,0.8860415504896749,0.8881523638370293,0.9378671671921371,0.9306815759512601,0.2884272965121192,0.003867889216984671,0.25,0.75
HistoKit (no postprocessing),gaussian,00a8cbc5-e358-18d7-ac64-8f4f6e3173fd_135812_2.png,8451246,5836825,71044,231445,0.9824185217060106,0.9654445787997923,0.9916637429611055,0.9733440934383131,0.9792681706528057,0.9824185217060106,0.9879746825801317,0.9618598051833553,0.008336257038894476,0.25,0.75
HistoKit (no postprocessing),gaussian,778d67ae-3cb9-eeb7-6fac-a66f6e936029_142330_3.png,17680816,627689,8887,2758248,0.927426580565797,0.864674216013135,0.9994976173426993,0.8650501803800801,0.8687045802642293,0.927426580565797,0.9860393731463328,0.18538118104382922,0.0005023826573006907,0.25,0.75
