"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","gaussian","1488fbc9-017a-a46d-0a46-5c2b5553bccd_165456_2.png",2650867,336941,92,2721160,0.660818054524837,0.493449046828635,0.99996529557794,0.493457497514439,0.523344999001587,0.660818054524836,0.999727029697389,0.110179814204959,3.47044220600922e-05,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","9c11305f-9a45-9e5e-ad0d-26ee9868ea85_151624_4.png",4306245,571236,2,77830,0.991043830136559,0.982246662182256,0.999999535558457,0.98224711027982,0.984293222244488,0.991043830136559,0.999996498832361,0.880089235917457,4.64441542716895e-07,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","3b6bcf08-7683-ffda-cbbf-264b629cb5e9_151938_7.png",0,4666070,22300,0,0,0,0,NA,0.995243549463886,NA,0.995243549463886,1,1,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","3ac230b9-44c8-f340-4d1e-154210441df7_162156_2.png",3261095,310268,28,1820769,0.781757181210998,0.64170883600045,0.999991414000637,0.641712371680942,0.662325116465387,0.781757181210998,0.999909763580581,0.145594844200265,8.58599936279619e-06,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","de5f0ae0-f8ac-a1c9-11af-b29f5b85668c_164243_1.png",23641116,4759515,297076,235067,0.988870648209874,0.977986294690344,0.987589873119908,0.990154749609684,0.981607605271448,0.988870648209874,0.941249747112234,0.952935601017262,0.0124101268800919,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","523eb3b3-2631-904b-3147-344aab2a0e69_072855_1.png",9199140,6091088,1249426,477330,0.914198613110555,0.84195749254798,0.880421294175679,0.950671060831068,0.898527494648875,0.914198613110556,0.829790393424766,0.927329533534559,0.119578705824321,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","dd39d066-a837-16fd-ad92-0770b0888627_135807_1.png",3667383,1577278,614146,1403605,0.784255831879268,0.645082947912925,0.856559187150198,0.723208771150711,0.722165170469535,0.784255831879268,0.719750262842791,0.529131133291713,0.143440812849802,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6a40a23d-a9fd-108a-edd5-261bdad9c312_144347_2.png",4405551,278323,3343,1080028,0.890507458052592,0.80262590723643,0.999241759951589,0.803115040363105,0.812151035719828,0.890507458052591,0.988131332855226,0.204897703170977,0.000758240048411234,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","ef3a72f1-b16d-9fbd-0abf-47c8ae24cc17_170601_2.png",12318556,749057,4045,7037354,0.777723170132586,0.636290528567861,0.999671741379925,0.636423500625907,0.649838639511479,0.777723170132586,0.994628881612318,0.0962005473381767,0.000328258620075421,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6edc5bc4-e291-c11b-6fc8-450de3279215_144119_1.png",4546952,3449940,36331,54172,0.990146015959441,0.980484338931591,0.992073149312403,0.9882263551254,0.988809375577674,0.990146015959441,0.989578836527625,0.984540448478816,0.00792685068759664,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","695348ba-b4ad-0d7a-344d-f5cf6987dc2a_161433_7.png",2627406,3967584,50851,243834,0.946898791007545,0.899152695792157,0.981013397892734,0.915077109541522,0.957228025995421,0.946898791007545,0.987345571099197,0.942101686415359,0.018986602107266,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","e64bebf4-9607-79c9-1f30-ec705b16f913_135513_1.png",10191219,4600429,132165,73319,0.990019196692119,0.980235657400235,0.98719751197863,0.992857057960134,0.98629844692972,0.990019196692119,0.972073454853723,0.98431259023807,0.0128024880213697,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6a40a23d-a9fd-108a-edd5-261bdad9c312_144347_4.png",2637874,246358,2319,700777,0.882402685201353,0.789553333313379,0.999121655121425,0.790101750677145,0.804005655462785,0.882402685201353,0.990674650249118,0.260108643435202,0.000878344878575165,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","4904a2d8-c11b-e076-57bb-00888e6b2940_163059_1.png",2391030,387950,14189,243201,0.948924981892865,0.902813753105625,0.994100745088077,0.907676661613959,0.915231015982901,0.948924981892865,0.96471618022624,0.614670657259515,0.00589925491192278,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","f881e0d1-5083-a9bf-24e9-defb3fc05474_163258_2.png",2720242,12447658,20593,53287,0.986602262745078,0.973558778034746,0.992486596238008,0.980787293011899,0.995152797114248,0.986602262745078,0.998348364979178,0.995737362255414,0.00751340376199224,0.9,1.75,"Colon","GrandQC"
