Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,15098780,33191725,7194,4067001,0.8811209113743956,0.7875032434976836,0.9995237645715529,0.7877988379393461,0.9221957731066921,0.8811209113743956,0.9997833061974096,0.8908443353645532,0.0004762354284470502,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,60747475,325043943,66668,37143114,0.765540815758411,0.6201426710019045,0.9989037418483394,0.6205650167249479,0.9120338618424723,0.765540815758411,0.9997949374836,0.8974477047643368,0.0010962581516605438,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,211152539,815544230,1107095,13097704,0.9674582415004552,0.9369676659918658,0.9947842414540299,0.9415933564896962,0.9863533695820123,0.9674582415004552,0.9986443480024967,0.9841937712025083,0.0052157585459701675,0.9,2.25
HistoKit (no postprocessing),gaussian,normal_004.png,17087362,1294843710,106194,3204718,0.9116751813948148,0.8376866591751831,0.9938236162432018,0.8420705023831958,0.9974826594343266,0.9116751813948148,0.9999179937388528,0.9975311260112708,0.006176383756798186,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,293349825,299333609,3869712,39146054,0.931690149380113,0.872116033414369,0.9869802905991338,0.8822660475740813,0.9323331443550661,0.9316901493801131,0.9872372374179899,0.884347397261501,0.013019709400866202,0.9,2.25
HistoKit (no postprocessing),gaussian,tumor_031.png,37651588,1305347240,95565,8782215,0.8945393302494687,0.8092005032176668,0.9974682858863555,0.8108659116290776,0.9934329953285204,0.8945393302494687,0.9999267949544522,0.9933170853399675,0.0025317141136445443,0.9,2.25
HistoKit (no postprocessing),gaussian,tumor_021.png,172573794,1108129697,585123,67458650,0.835321404505357,0.7172119482032665,0.996620890161839,0.7189602835523351,0.949550390339105,0.835321404505357,0.9994722511240537,0.9426171157853439,0.0033791098381609768,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,79407092,266668518,793716,7508202,0.9503224530691842,0.9053470333321514,0.9901033914770534,0.9136147200974779,0.9765732380186365,0.9503224530691842,0.9970324184161268,0.9726154649453826,0.009896608522946552,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,9181910,71172803,289481,6141270,0.7406387470870135,0.588106665481304,0.9694362739327307,0.5992170032591146,0.9259005978236171,0.7406387470870135,0.9959491778908158,0.9205672426545165,0.030563726067269318,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,210897627,531851100,1168854,3073455,0.9900424061903669,0.9802811645346962,0.9944882661583846,0.9856361197444429,0.9943208033355838,0.9900424061903669,0.9978071102381282,0.9942544140640543,0.0055117338416154505,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,185905995,213250834,1626628,137136031,0.7282225835697533,0.5726022291021664,0.9913261598223366,0.5754854787841134,0.7420382378858897,0.7282225835697534,0.9924299738797175,0.6086153771774522,0.008673840177663383,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,10441773,212615144,111207,23039092,0.4742612415518109,0.31084039710322126,0.9894620287350113,0.3118728563315195,0.9059722969289413,0.4742612415518108,0.9994772297861678,0.9022334909354228,0.010537971264988658,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,161144574,170242124,4232647,13032175,0.9491544098276925,0.9032291886689645,0.974406106388739,0.9251784461771071,0.9504811509211261,0.9491544098276925,0.9757406358768054,0.9288925120919437,0.02559389361126101,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,15099824,33191728,7191,4065957,0.8811550712115813,0.7875578183705687,0.999523995971408,0.7878533100216475,0.9222157674922228,0.8811550712115813,0.9997833965617977,0.8908693065605123,0.000476004028592015,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,60613547,325044254,66357,37277042,0.7644996979356052,0.6187774269728662,0.9989064419086754,0.6191968770358507,0.9117179833059575,0.7644996979356052,0.999795894081107,0.897116061320337,0.0010935580913246006,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,211115663,815545942,1105383,13134580,0.9673748002242595,0.9368111493253778,0.9947913601368263,0.9414289151963149,0.9863195873291258,0.9673748002242594,0.998646444368409,0.9841500075707101,0.005208639863173608,0.5,0.75
HistoKit (no postprocessing),gaussian,normal_004.png,17084608,1294845265,104639,3207472,0.9116330379658116,0.8376155008067719,0.9939125314797094,0.8419347844084983,0.9974817478150089,0.9116330379658115,0.9999191945575062,0.9975290125673838,0.006087468520290621,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,292858078,299035865,4167456,39637801,0.9304149849466677,0.8698840876153027,0.985969367872595,0.8807870908980499,0.9310912189287008,0.9304149849466676,0.9862552428968943,0.8829616678847418,0.014030632127404912,0.5,0.75
HistoKit (no postprocessing),gaussian,tumor_031.png,37635242,1305349188,93617,8798561,0.8943453333260776,0.8088830629336421,0.9975186898707963,0.8105138836032879,0.9934223449482159,0.8943453333260776,0.9999282871684294,0.9933047398919221,0.0024813101292037484,0.5,0.75
HistoKit (no postprocessing),gaussian,tumor_021.png,172706914,1108130990,583830,67325530,0.8356991284989315,0.7177690483229742,0.9966309221916665,0.7195148752474478,0.9496500480018768,0.8356991284989315,0.9994734173391856,0.9427239299331973,0.0033690778083334907,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,79175651,266681235,780999,7739643,0.9489390379487639,0.902839199827979,0.9902322195839871,0.9109518860972846,0.975956031839581,0.9489390379487639,0.9970799653157761,0.9717964498313426,0.009767780416012927,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,9203077,71173714,288570,6120103,0.7417401701007225,0.5894968213044662,0.9695974787094379,0.6005983744888463,0.9261549952651057,0.7417401701007226,0.9959619258740736,0.9208202772545183,0.03040252129056211,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,210449552,531836920,1183034,3521530,0.9889461384999154,0.9781339809460118,0.994409962934536,0.9835420283568973,0.9937019806486674,0.9889461384999153,0.9977805071064938,0.9934221081221376,0.005590037065464011,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,185982878,213203316,1674146,137059148,0.7283462853514218,0.5727552060449888,0.9910786925833376,0.5757234756817678,0.7420928278396933,0.7283462853514219,0.992208833888777,0.6086958721331898,0.008921307416662432,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,10443299,212614599,111752,23037566,0.4743082442068424,0.31088078073821995,0.9894124623367523,0.3119184346043628,0.9059762813775531,0.4743082442068424,0.9994746678092551,0.9022391073725123,0.010587537663247671,0.5,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,161121652,170255787,4218984,13055097,0.949121659852558,0.9031698757054912,0.9744830786788554,0.9250468442260339,0.9504545943181317,0.9491216598525581,0.9758189451929414,0.9287816592494311,0.02551692132114455,0.5,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,15096416,33191725,7194,4069365,0.8810437279145112,0.7873799449485539,0.9995236900317209,0.7876754931093076,0.9221506281903649,0.8810437279145112,0.9997833061974096,0.8907878164594756,0.0004763099682791068,0.5,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,60479287,325044204,66407,37411302,0.7634524851861111,0.617406509689211,0.9989031920255138,0.617825345805203,0.9114004664762181,0.7634524851861111,0.9997957402872957,0.8967837392984727,0.001096807974486179,0.5,2.25
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,211117437,815543639,1107686,13132806,0.967373892986208,0.9368094476942056,0.9947806085144782,0.9414368260015664,0.9863190791158458,0.9673738929862081,0.9986436243154323,0.9841520703535865,0.005219391485521721,0.5,2.25
HistoKit (no postprocessing),gaussian,normal_004.png,17084822,1294845209,104695,3207258,0.9116378899223531,0.8376236929612647,0.9939093692975783,0.8419453303949127,0.997481867944994,0.9116378899223532,0.9999191513125901,0.997529176915774,0.006090630702421714,0.5,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,292863804,299036840,4166481,39632075,0.9304261546149176,0.8699036150046593,0.9859728747861518,0.8808043121641216,0.9311017600777223,0.9304261546149176,0.986258458560881,0.8829769333864019,0.014027125213848144,0.5,2.25
HistoKit (no postprocessing),gaussian,tumor_031.png,37636706,1305349162,93643,8797097,0.8943642894423744,0.8089140762207322,0.9975180987591713,0.8105454123583201,0.9934234086547639,0.8943642894423744,0.9999282672518157,0.9933058463319797,0.002481901240828703,0.5,2.25
HistoKit (no postprocessing),gaussian,tumor_021.png,172711104,1108129410,585410,67321340,0.8357077366933483,0.7177817486477956,0.996621917045602,0.7195323312210244,0.9496519831309181,0.8357077366933483,0.9994719922657839,0.9427272133689991,0.0033780829543980325,0.5,2.25
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,79241520,266680200,782034,7673774,0.9493478713834183,0.9035796392793176,0.9902274522823618,0.9117097389097021,0.9761389836208801,0.9493478713834183,0.9970760956105675,0.972029659756268,0.009772547717638235,0.5,2.25
